id,date,city,country,pax,type,agent_id,channel,status,revenue,profit,nights
TRV-10703,2025-10-15,אמסטרדם,הולנד,5,קרוז,4111,מטא Ads,שולם,20660,2031,7
TRV-10720,2025-10-16,אמסטרדם,הולנד,2,מלון בלבד,4025,אתר,שולם,2782,498,12
TRV-10250,2025-10-17,רומא,איטליה,1,מלון בלבד,8629,וואטסאפ,שולם,1707,161,11
TRV-10384,2025-10-17,לרנקה,קפריסין,1,קרוז,8411,אתר,שולם,4198,569,8
TRV-10390,2025-10-18,פריז,צרפת,2,מלון בלבד,9320,אתר,שולם,3178,318,6
TRV-10476,2025-10-18,רומא,איטליה,1,טיול מודרך,4111,טלפון,ממתין לתשלום,3359,649,5
TRV-10524,2025-10-19,טביליסי,גאורגיה,1,טיסה בלבד,8411,מטא Ads,שולם,1166,116,4
TRV-10274,2025-10-22,אתונה,יוון,2,טיול מודרך,8411,טלפון,שולם,7106,693,10
TRV-10511,2025-10-22,פריז,צרפת,2,חבילה,8629,סוכן משנה,שולם,6060,800,11
TRV-10277,2025-10-23,פריז,צרפת,5,מלון בלבד,9320,מטא Ads,שולם,6635,1180,4
TRV-10066,2025-10-24,לרנקה,קפריסין,1,קרוז,4025,אתר,בוטל,3039,370,12
TRV-10085,2025-10-24,בנגקוק,תאילנד,4,מלון בלבד,9320,מטא Ads,ממתין לתשלום,6504,1290,3
TRV-10335,2025-10-24,ברצלונה,ספרד,4,טיול מודרך,8629,אתר,ממתין לתשלום,23656,3951,6
TRV-10432,2025-10-24,לונדון,בריטניה,5,טיסה בלבד,4111,אתר,שולם,5400,554,5
TRV-10466,2025-10-24,אמסטרדם,הולנד,2,מלון בלבד,9320,אתר,שולם,2370,285,8
TRV-10636,2025-10-24,לונדון,בריטניה,3,מלון בלבד,4111,אתר,שולם,3129,308,6
TRV-10030,2025-10-25,אמסטרדם,הולנד,1,חבילה,8411,וואטסאפ,שולם,2782,542,6
TRV-10171,2025-10-25,ברצלונה,ספרד,3,חבילה,4111,מטא Ads,שולם,9426,1285,4
TRV-10376,2025-10-25,ברצלונה,ספרד,6,מלון בלבד,4111,אתר,שולם,6294,705,12
TRV-10397,2025-10-26,פראג,צ'כיה,2,קרוז,8402,אתר,שולם,5472,1131,10
TRV-10300,2025-10-27,לונדון,בריטניה,4,קרוז,8402,סוכן משנה,בוטל,11468,2094,12
TRV-10412,2025-10-27,אמסטרדם,הולנד,2,קרוז,9320,טלפון,בוטל,9012,1763,3
TRV-10535,2025-10-27,לונדון,בריטניה,1,מלון בלבד,9320,וואטסאפ,שולם,1193,259,6
TRV-10564,2025-10-27,פראג,צ'כיה,2,טיול מודרך,8411,אתר,שולם,8270,1688,9
TRV-10167,2025-10-28,דובאי,איחוד האמירויות,2,טיול מודרך,4025,אתר,שולם,10502,1291,8
TRV-10713,2025-10-28,לרנקה,קפריסין,1,קרוז,8629,אתר,שולם,3685,432,6
TRV-10529,2025-10-29,אמסטרדם,הולנד,4,טיסה בלבד,9320,אתר,שולם,4720,597,10
TRV-10474,2025-10-30,רומא,איטליה,3,חבילה,8629,אתר,שולם,6360,1141,12
TRV-10273,2025-11-01,אמסטרדם,הולנד,1,חבילה,8411,אתר,שולם,2259,228,9
TRV-10505,2025-11-01,לרנקה,קפריסין,4,חבילה,4025,וואטסאפ,שולם,12288,2352,4
TRV-10563,2025-11-01,לרנקה,קפריסין,1,טיסה בלבד,8629,וואטסאפ,בוטל,1039,98,11
TRV-10663,2025-11-01,טביליסי,גאורגיה,1,טיול מודרך,8629,וואטסאפ,שולם,5780,1009,4
TRV-10682,2025-11-01,ברצלונה,ספרד,2,מלון בלבד,4111,אתר,שולם,2888,591,11
TRV-10388,2025-11-02,אתונה,יוון,3,טיול מודרך,8629,מטא Ads,שולם,17340,3796,6
TRV-10441,2025-11-02,אמסטרדם,הולנד,4,טיול מודרך,8411,טלפון,שולם,18512,3036,4
TRV-10596,2025-11-02,לונדון,בריטניה,2,מלון בלבד,8629,וואטסאפ,ממתין לתשלום,2902,261,5
TRV-10196,2025-11-03,ברצלונה,ספרד,4,טיסה בלבד,8629,מטא Ads,שולם,3116,421,4
TRV-10255,2025-11-03,אתונה,יוון,2,טיסה בלבד,8411,וואטסאפ,ממתין לתשלום,2228,357,11
TRV-10446,2025-11-04,אתונה,יוון,1,טיסה בלבד,8629,טלפון,שולם,1047,221,6
TRV-10613,2025-11-04,לונדון,בריטניה,1,טיסה בלבד,9320,וואטסאפ,שולם,734,102,4
TRV-10502,2025-11-05,פריז,צרפת,2,מלון בלבד,9320,אתר,שולם,2544,549,9
TRV-10521,2025-11-05,אתונה,יוון,3,טיול מודרך,8411,סוכן משנה,שולם,10290,1324,12
TRV-10648,2025-11-05,דובאי,איחוד האמירויות,3,מלון בלבד,4111,אתר,שולם,3261,536,7
TRV-10688,2025-11-05,ברצלונה,ספרד,1,טיול מודרך,8402,טלפון,שולם,4276,736,5
TRV-10057,2025-11-06,דובאי,איחוד האמירויות,2,חבילה,4111,אתר,שולם,3712,642,7
TRV-10531,2025-11-06,ניו יורק,"ארה""ב",2,טיול מודרך,4111,טלפון,שולם,7022,1140,8
TRV-10557,2025-11-06,לונדון,בריטניה,1,קרוז,9320,מטא Ads,בוטל,4529,541,5
TRV-10136,2025-11-07,רומא,איטליה,5,טיול מודרך,4111,אתר,שולם,24925,4583,7
TRV-10195,2025-11-07,רומא,איטליה,2,קרוז,8411,סוכן משנה,שולם,9316,1440,11
TRV-10292,2025-11-07,טביליסי,גאורגיה,2,קרוז,4025,טלפון,שולם,8176,996,12
TRV-10696,2025-11-07,אתונה,יוון,2,מלון בלבד,4025,וואטסאפ,שולם,2514,450,6
TRV-10492,2025-11-08,רומא,איטליה,4,מלון בלבד,8402,טלפון,שולם,6320,696,11
TRV-10602,2025-11-09,לונדון,בריטניה,2,חבילה,8629,וואטסאפ,בוטל,4044,882,3
TRV-10608,2025-11-09,לרנקה,קפריסין,2,טיול מודרך,8402,אתר,שולם,10308,2220,3
TRV-10203,2025-11-10,אמסטרדם,הולנד,3,טיסה בלבד,4111,אתר,שולם,3798,709,4
TRV-10517,2025-11-10,אמסטרדם,הולנד,1,טיול מודרך,8629,אתר,שולם,5372,517,10
TRV-10537,2025-11-10,אמסטרדם,הולנד,1,חבילה,4111,טלפון,שולם,2535,436,7
TRV-10583,2025-11-10,אתונה,יוון,2,טיסה בלבד,9320,מטא Ads,שולם,1856,214,8
TRV-10263,2025-11-11,אמסטרדם,הולנד,2,חבילה,4025,וואטסאפ,בוטל,6436,1361,5
TRV-10355,2025-11-11,רומא,איטליה,1,קרוז,9320,אתר,בוטל,3899,834,9
TRV-10399,2025-11-11,בנגקוק,תאילנד,3,חבילה,9320,טלפון,שולם,8160,816,8
TRV-10589,2025-11-11,פריז,צרפת,2,מלון בלבד,8629,טלפון,שולם,2476,264,4
TRV-10634,2025-11-11,רומא,איטליה,2,חבילה,9320,מטא Ads,בוטל,4382,559,11
TRV-10687,2025-11-11,רומא,איטליה,2,מלון בלבד,8402,וואטסאפ,שולם,2434,338,8
TRV-10669,2025-11-12,פריז,צרפת,3,קרוז,4025,אתר,שולם,8271,1152,10
TRV-10079,2025-11-13,דובאי,איחוד האמירויות,4,חבילה,8629,סוכן משנה,שולם,9532,1338,8
TRV-10298,2025-11-13,לרנקה,קפריסין,2,מלון בלבד,8402,סוכן משנה,שולם,2798,557,7
TRV-10572,2025-11-13,טביליסי,גאורגיה,2,מלון בלבד,8402,וואטסאפ,שולם,2090,196,3
TRV-10600,2025-11-14,ניו יורק,"ארה""ב",1,טיול מודרך,8629,סוכן משנה,בוטל,4605,772,6
TRV-10706,2025-11-14,לרנקה,קפריסין,3,טיסה בלבד,8629,מטא Ads,בוטל,2799,525,10
TRV-10463,2025-11-15,אמסטרדם,הולנד,4,חבילה,8411,וואטסאפ,שולם,10644,2214,10
TRV-10299,2025-11-16,פראג,צ'כיה,2,קרוז,9320,אתר,בוטל,6764,1266,12
TRV-10382,2025-11-16,לונדון,בריטניה,2,טיול מודרך,9320,סוכן משנה,שולם,10696,1598,10
TRV-10461,2025-11-16,אמסטרדם,הולנד,2,חבילה,8629,טלפון,בוטל,4960,757,12
TRV-10714,2025-11-17,דובאי,איחוד האמירויות,5,טיול מודרך,8411,וואטסאפ,שולם,18590,2960,4
TRV-10186,2025-11-18,דובאי,איחוד האמירויות,5,טיסה בלבד,4111,אתר,שולם,3660,361,8
TRV-10534,2025-11-18,אמסטרדם,הולנד,3,קרוז,9320,טלפון,שולם,13206,2642,8
TRV-10670,2025-11-18,אמסטרדם,הולנד,4,מלון בלבד,4025,אתר,שולם,4896,673,5
TRV-10048,2025-11-19,ברצלונה,ספרד,4,טיסה בלבד,9320,וואטסאפ,שולם,4580,470,5
TRV-10083,2025-11-19,טביליסי,גאורגיה,4,קרוז,4111,אתר,שולם,13048,2473,10
TRV-10356,2025-11-20,פראג,צ'כיה,2,טיסה בלבד,8629,סוכן משנה,שולם,1960,270,3
TRV-10701,2025-11-20,דובאי,איחוד האמירויות,1,קרוז,4025,מטא Ads,שולם,3906,532,3
TRV-10368,2025-11-21,ברצלונה,ספרד,5,מלון בלבד,4025,וואטסאפ,שולם,7105,1286,4
TRV-10147,2025-11-22,דובאי,איחוד האמירויות,1,מלון בלבד,8411,אתר,שולם,1067,212,8
TRV-10166,2025-11-22,טביליסי,גאורגיה,2,קרוז,4111,מטא Ads,שולם,7704,734,10
TRV-10313,2025-11-22,בנגקוק,תאילנד,1,טיול מודרך,4025,וואטסאפ,שולם,3750,663,3
TRV-10594,2025-11-22,רומא,איטליה,1,טיול מודרך,4111,מטא Ads,שולם,5121,656,7
TRV-10206,2025-11-23,לרנקה,קפריסין,3,קרוז,8402,אתר,שולם,14103,1936,12
TRV-10283,2025-11-25,אתונה,יוון,2,קרוז,8411,טלפון,שולם,5732,1041,11
TRV-10359,2025-11-25,לרנקה,קפריסין,1,מלון בלבד,8629,מטא Ads,ממתין לתשלום,1327,256,12
TRV-10444,2025-11-25,ברצלונה,ספרד,1,חבילה,8629,מטא Ads,ממתין לתשלום,2752,446,12
TRV-10217,2025-11-26,ניו יורק,"ארה""ב",2,טיול מודרך,9320,אתר,ממתין לתשלום,9988,959,6
TRV-10401,2025-11-26,ברצלונה,ספרד,2,קרוז,8402,מטא Ads,שולם,7716,828,11
TRV-10473,2025-11-26,בנגקוק,תאילנד,5,קרוז,9320,אתר,שולם,16080,3021,12
TRV-10398,2025-11-27,טביליסי,גאורגיה,3,קרוז,4025,סוכן משנה,שולם,8208,1521,7
TRV-10230,2025-11-28,לונדון,בריטניה,1,מלון בלבד,8402,טלפון,ממתין לתשלום,1378,146,3
TRV-10385,2025-11-28,אתונה,יוון,4,חבילה,8629,אתר,ממתין לתשלום,10892,1521,8
TRV-10551,2025-11-28,דובאי,איחוד האמירויות,1,טיסה בלבד,8411,אתר,שולם,926,134,3
TRV-10200,2025-11-29,אתונה,יוון,5,טיול מודרך,8411,וואטסאפ,שולם,24700,2249,8
TRV-10229,2025-11-29,דובאי,איחוד האמירויות,3,טיול מודרך,4025,מטא Ads,שולם,15531,2200,11
TRV-10281,2025-11-30,טביליסי,גאורגיה,1,קרוז,4025,אתר,שולם,3418,391,4
TRV-10404,2025-11-30,רומא,איטליה,4,מלון בלבד,4025,וואטסאפ,שולם,5552,700,5
TRV-10639,2025-11-30,פראג,צ'כיה,5,טיסה בלבד,8411,טלפון,שולם,5765,678,9
TRV-10073,2025-12-01,ניו יורק,"ארה""ב",4,טיול מודרך,4025,אתר,שולם,25360,3747,5
TRV-10154,2025-12-01,בנגקוק,תאילנד,2,קרוז,8402,אתר,שולם,8204,1269,9
TRV-10371,2025-12-01,בנגקוק,תאילנד,1,טיול מודרך,9320,אתר,שולם,5470,825,3
TRV-10681,2025-12-01,אתונה,יוון,2,קרוז,8411,סוכן משנה,ממתין לתשלום,6526,1213,7
TRV-10286,2025-12-02,בנגקוק,תאילנד,2,קרוז,4111,מטא Ads,שולם,10132,1756,7
TRV-10389,2025-12-02,ניו יורק,"ארה""ב",2,קרוז,8411,מטא Ads,שולם,6640,873,11
TRV-10538,2025-12-02,לרנקה,קפריסין,1,טיסה בלבד,8629,וואטסאפ,שולם,1255,141,9
TRV-10121,2025-12-03,לרנקה,קפריסין,2,קרוז,8402,אתר,שולם,6258,807,10
TRV-10568,2025-12-04,רומא,איטליה,2,טיול מודרך,8411,מטא Ads,שולם,10444,1891,9
TRV-10622,2025-12-04,ניו יורק,"ארה""ב",3,טיול מודרך,4111,אתר,שולם,20184,3438,12
TRV-10569,2025-12-05,רומא,איטליה,2,חבילה,9320,וואטסאפ,ממתין לתשלום,4424,700,9
TRV-10692,2025-12-05,רומא,איטליה,1,מלון בלבד,8402,טלפון,שולם,1741,261,5
TRV-10333,2025-12-06,לונדון,בריטניה,2,טיסה בלבד,8402,סוכן משנה,שולם,2792,522,3
TRV-10641,2025-12-07,לרנקה,קפריסין,2,קרוז,9320,אתר,בוטל,10598,1110,7
TRV-10052,2025-12-08,אמסטרדם,הולנד,2,חבילה,9320,אתר,שולם,5356,841,8
TRV-10257,2025-12-09,בנגקוק,תאילנד,4,טיסה בלבד,8402,וואטסאפ,ממתין לתשלום,4220,588,4
TRV-10510,2025-12-09,טביליסי,גאורגיה,2,טיסה בלבד,9320,מטא Ads,שולם,2298,399,11
TRV-10438,2025-12-10,פראג,צ'כיה,2,טיסה בלבד,8629,וואטסאפ,שולם,2194,378,10
TRV-10362,2025-12-11,לרנקה,קפריסין,2,טיול מודרך,8402,מטא Ads,שולם,12846,2078,12
TRV-10174,2025-12-15,ניו יורק,"ארה""ב",1,חבילה,9320,אתר,ממתין לתשלום,3072,628,8
TRV-10306,2025-12-16,אתונה,יוון,3,טיול מודרך,8411,וואטסאפ,שולם,13611,1433,3
TRV-10337,2025-12-16,בנגקוק,תאילנד,2,טיול מודרך,4111,אתר,שולם,8134,1057,8
TRV-10561,2025-12-16,פריז,צרפת,1,קרוז,8402,טלפון,שולם,5199,815,11
TRV-10661,2025-12-16,רומא,איטליה,2,טיסה בלבד,9320,אתר,שולם,2414,453,11
TRV-10100,2025-12-17,אתונה,יוון,3,טיול מודרך,4111,וואטסאפ,בוטל,18210,3426,7
TRV-10131,2025-12-17,פריז,צרפת,3,טיול מודרך,8629,אתר,בוטל,14853,2302,8
TRV-10275,2025-12-17,אתונה,יוון,2,טיול מודרך,4025,מטא Ads,בוטל,10626,1850,7
TRV-10699,2025-12-18,פריז,צרפת,1,טיסה בלבד,4111,אתר,ממתין לתשלום,1028,197,7
TRV-10226,2025-12-19,אתונה,יוון,3,חבילה,8411,וואטסאפ,שולם,11505,1627,8
TRV-10353,2025-12-20,לרנקה,קפריסין,2,טיול מודרך,4025,אתר,שולם,8350,1492,10
TRV-10107,2025-12-21,אתונה,יוון,4,מלון בלבד,8629,וואטסאפ,שולם,6384,990,6
TRV-10241,2025-12-21,לרנקה,קפריסין,4,טיול מודרך,4025,וואטסאפ,ממתין לתשלום,16184,1799,12
TRV-10507,2025-12-21,אמסטרדם,הולנד,1,קרוז,8402,טלפון,שולם,3330,512,11
TRV-10617,2025-12-21,טביליסי,גאורגיה,2,טיול מודרך,4025,מטא Ads,שולם,10618,1901,12
TRV-10266,2025-12-23,פריז,צרפת,1,טיסה בלבד,9320,וואטסאפ,שולם,1475,214,4
TRV-10464,2025-12-23,דובאי,איחוד האמירויות,2,מלון בלבד,9320,סוכן משנה,שולם,3768,603,3
TRV-10054,2025-12-24,רומא,איטליה,2,חבילה,4025,מטא Ads,שולם,5346,1066,12
TRV-10515,2025-12-25,ניו יורק,"ארה""ב",6,טיול מודרך,4025,טלפון,שולם,28716,4494,9
TRV-10673,2025-12-25,ניו יורק,"ארה""ב",1,טיול מודרך,4025,מטא Ads,שולם,5982,907,5
TRV-10027,2025-12-26,רומא,איטליה,2,מלון בלבד,4111,טלפון,ממתין לתשלום,3868,540,8
TRV-10357,2025-12-26,ניו יורק,"ארה""ב",1,טיסה בלבד,8411,וואטסאפ,ממתין לתשלום,920,172,5
TRV-10138,2025-12-27,בנגקוק,תאילנד,2,טיסה בלבד,9320,אתר,שולם,2324,389,9
TRV-10400,2025-12-27,רומא,איטליה,2,קרוז,8402,וואטסאפ,שולם,11006,1628,11
TRV-10228,2025-12-28,רומא,איטליה,2,טיסה בלבד,8411,טלפון,שולם,2164,318,4
TRV-10411,2025-12-28,טביליסי,גאורגיה,2,טיסה בלבד,4025,מטא Ads,שולם,2132,212,11
TRV-10133,2025-12-29,פראג,צ'כיה,4,טיסה בלבד,4111,סוכן משנה,שולם,3612,639,6
TRV-10310,2025-12-29,ברצלונה,ספרד,5,טיסה בלבד,8402,מטא Ads,שולם,5730,775,6
TRV-10406,2025-12-29,לונדון,בריטניה,4,חבילה,4025,מטא Ads,בוטל,14996,2989,12
TRV-10576,2025-12-29,פראג,צ'כיה,4,חבילה,8411,מטא Ads,שולם,10532,1975,8
TRV-10185,2025-12-30,דובאי,איחוד האמירויות,1,טיסה בלבד,9320,וואטסאפ,שולם,1079,100,9
TRV-10425,2025-12-30,טביליסי,גאורגיה,2,טיול מודרך,8402,וואטסאפ,שולם,8316,1651,7
TRV-10633,2025-12-30,פראג,צ'כיה,2,קרוז,4025,אתר,ממתין לתשלום,9844,1488,10
TRV-10360,2025-12-31,ניו יורק,"ארה""ב",2,מלון בלבד,8411,טלפון,שולם,3852,669,5
TRV-10456,2025-12-31,לרנקה,קפריסין,3,טיול מודרך,9320,טלפון,שולם,17223,2949,5
TRV-10526,2025-12-31,אמסטרדם,הולנד,6,מלון בלבד,9320,מטא Ads,בוטל,9786,1226,8
TRV-10578,2025-12-31,אמסטרדם,הולנד,4,טיסה בלבד,8629,וואטסאפ,שולם,3416,348,7
TRV-10638,2025-12-31,דובאי,איחוד האמירויות,3,קרוז,8411,אתר,שולם,10935,2233,11
TRV-10702,2025-12-31,פריז,צרפת,4,טיול מודרך,8629,אתר,שולם,15580,3418,4
TRV-10135,2026-01-01,דובאי,איחוד האמירויות,1,חבילה,4025,אתר,ממתין לתשלום,2750,428,3
TRV-10522,2026-01-01,אמסטרדם,הולנד,4,מלון בלבד,9320,טלפון,שולם,6116,1051,6
TRV-10693,2026-01-01,פראג,צ'כיה,2,חבילה,9320,אתר,ממתין לתשלום,5884,1182,7
TRV-10168,2026-01-02,דובאי,איחוד האמירויות,4,טיסה בלבד,9320,וואטסאפ,ממתין לתשלום,4852,795,5
TRV-10575,2026-01-02,בנגקוק,תאילנד,2,מלון בלבד,8629,טלפון,שולם,2466,502,3
TRV-10090,2026-01-03,אתונה,יוון,2,מלון בלבד,8402,טלפון,בוטל,2898,468,9
TRV-10112,2026-01-04,פראג,צ'כיה,2,חבילה,4025,אתר,שולם,5038,966,9
TRV-10329,2026-01-04,טביליסי,גאורגיה,2,מלון בלבד,4025,וואטסאפ,שולם,3380,357,9
TRV-10439,2026-01-04,ניו יורק,"ארה""ב",4,טיסה בלבד,9320,טלפון,שולם,3620,535,5
TRV-10545,2026-01-04,ניו יורק,"ארה""ב",1,טיול מודרך,8411,וואטסאפ,שולם,3958,652,6
TRV-10101,2026-01-05,לונדון,בריטניה,2,חבילה,4025,וואטסאפ,בוטל,4664,761,10
TRV-10307,2026-01-06,אתונה,יוון,1,חבילה,8402,אתר,שולם,2880,566,8
TRV-10316,2026-01-06,אתונה,יוון,2,טיול מודרך,8629,טלפון,שולם,10822,1984,9
TRV-10125,2026-01-07,פריז,צרפת,3,מלון בלבד,9320,וואטסאפ,שולם,4578,948,5
TRV-10164,2026-01-07,ברצלונה,ספרד,1,טיול מודרך,9320,אתר,ממתין לתשלום,5117,656,11
TRV-10294,2026-01-07,אתונה,יוון,1,חבילה,9320,אתר,שולם,2899,399,9
TRV-10616,2026-01-07,ניו יורק,"ארה""ב",1,מלון בלבד,9320,מטא Ads,ממתין לתשלום,1116,188,8
TRV-10587,2026-01-08,ברצלונה,ספרד,2,מלון בלבד,4111,מטא Ads,שולם,2924,485,8
TRV-10695,2026-01-08,ברצלונה,ספרד,2,חבילה,8629,אתר,שולם,4982,931,6
TRV-10499,2026-01-09,בנגקוק,תאילנד,3,טיסה בלבד,8402,טלפון,שולם,2316,299,8
TRV-10049,2026-01-11,בנגקוק,תאילנד,3,חבילה,8402,אתר,שולם,5952,812,11
TRV-10155,2026-01-12,ניו יורק,"ארה""ב",4,מלון בלבד,8402,מטא Ads,שולם,5916,604,5
TRV-10530,2026-01-13,אמסטרדם,הולנד,1,קרוז,4111,וואטסאפ,שולם,3684,642,11
TRV-10635,2026-01-13,ברצלונה,ספרד,2,טיול מודרך,4025,טלפון,שולם,8490,909,12
TRV-10040,2026-01-15,אתונה,יוון,4,טיול מודרך,4111,אתר,שולם,18708,2172,3
TRV-10458,2026-01-15,אתונה,יוון,2,קרוז,8402,מטא Ads,ממתין לתשלום,7618,1229,11
TRV-10618,2026-01-15,בנגקוק,תאילנד,2,טיול מודרך,8402,וואטסאפ,שולם,10688,1476,10
TRV-10010,2026-01-16,ברצלונה,ספרד,2,טיול מודרך,8629,טלפון,שולם,9980,2182,3
TRV-10422,2026-01-16,טביליסי,גאורגיה,5,מלון בלבד,8411,טלפון,שולם,8320,1398,11
TRV-10189,2026-01-17,פראג,צ'כיה,3,קרוז,4111,מטא Ads,שולם,13839,2154,4
TRV-10358,2026-01-18,דובאי,איחוד האמירויות,2,טיול מודרך,4025,אתר,שולם,11790,1136,4
TRV-10662,2026-01-18,לונדון,בריטניה,4,מלון בלבד,8411,סוכן משנה,שולם,5512,779,12
TRV-10144,2026-01-19,בנגקוק,תאילנד,2,טיסה בלבד,9320,אתר,ממתין לתשלום,2368,361,10
TRV-10152,2026-01-19,ברצלונה,ספרד,1,חבילה,4025,אתר,שולם,2957,270,4
TRV-10153,2026-01-19,לרנקה,קפריסין,3,חבילה,4025,אתר,ממתין לתשלום,9804,1181,9
TRV-10305,2026-01-19,בנגקוק,תאילנד,3,טיסה בלבד,8402,טלפון,שולם,2790,260,9
TRV-10610,2026-01-19,ניו יורק,"ארה""ב",4,חבילה,8411,טלפון,שולם,8084,1305,9
TRV-10573,2026-01-20,לונדון,בריטניה,4,טיסה בלבד,8411,אתר,שולם,4656,977,6
TRV-10651,2026-01-20,לרנקה,קפריסין,2,קרוז,4025,סוכן משנה,שולם,6556,1009,10
TRV-10026,2026-01-21,פראג,צ'כיה,5,טיסה בלבד,8411,וואטסאפ,שולם,4000,795,7
TRV-10540,2026-01-21,לונדון,בריטניה,2,טיול מודרך,4111,וואטסאפ,שולם,7712,1484,8
TRV-10254,2026-01-22,דובאי,איחוד האמירויות,2,טיול מודרך,8411,אתר,שולם,7948,979,6
TRV-10428,2026-01-22,פריז,צרפת,1,חבילה,4111,מטא Ads,שולם,2079,299,8
TRV-10558,2026-01-22,פראג,צ'כיה,4,חבילה,8411,סוכן משנה,שולם,7756,829,7
TRV-10614,2026-01-22,לונדון,בריטניה,3,טיול מודרך,8411,אתר,שולם,12696,2231,12
TRV-10173,2026-01-23,בנגקוק,תאילנד,3,קרוז,4025,אתר,בוטל,13233,1861,7
TRV-10435,2026-01-23,לרנקה,קפריסין,6,טיול מודרך,8411,אתר,שולם,30774,2970,10
TRV-10632,2026-01-23,טביליסי,גאורגיה,1,טיול מודרך,4111,אתר,שולם,4449,446,11
TRV-10678,2026-01-24,לרנקה,קפריסין,1,קרוז,8402,אתר,שולם,4138,505,8
TRV-10013,2026-01-25,פראג,צ'כיה,2,טיסה בלבד,4025,מטא Ads,שולם,1626,263,10
TRV-10142,2026-01-25,דובאי,איחוד האמירויות,2,טיול מודרך,8411,סוכן משנה,שולם,7724,1283,12
TRV-10402,2026-01-25,טביליסי,גאורגיה,2,קרוז,4025,מטא Ads,שולם,9476,1719,7
TRV-10689,2026-01-25,לונדון,בריטניה,3,טיסה בלבד,8402,וואטסאפ,שולם,3102,558,10
